name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"21.4434844005937, 87.02348429564694",2025-01-11,25.1,14,18.8,25.1,14,18.8,14.1,75.7,0,0,0,,0,0,26.6,16.2,12.5,1018.3,44,16.9,204.4,17.6,8,10,2025-01-11T06:22:07,2025-01-11T17:17:47,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-12,25.1,13.7,19,25.1,13.7,19,14.8,78.4,0,0,0,,0,0,18.7,10.8,17.5,1017.2,49.2,16.9,202.6,17.5,7,10,2025-01-12T06:22:13,2025-01-12T17:18:28,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-13,26,15.3,20,26,15.3,20,16.3,80.6,0,0,0,,0,0,17.3,11.5,204.8,1015.3,11.7,16.9,198.7,17.2,7,10,2025-01-13T06:22:18,2025-01-13T17:19:09,0.48,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-14,25.6,17.7,20.5,25.6,17.7,20.5,17.1,81.4,0,0,0,,0,0,30.2,19.4,17.8,1017.4,30,16.7,187.6,16.4,7,10,2025-01-14T06:22:21,2025-01-14T17:19:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-15,26,17,20.5,26,17,20.5,16,76.9,0,0,0,,0,0,28.1,18,8.9,1018.3,47.7,16.8,190.8,16.4,7,10,2025-01-15T06:22:23,2025-01-15T17:20:31,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-16,26,15.3,19.6,26,15.3,19.6,13.3,68.8,0,0,0,,0,0,28.8,17.6,11.2,1017.8,3.2,16.8,209.6,18.2,8,10,2025-01-16T06:22:23,2025-01-16T17:21:12,0.57,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-17,26.2,14.8,19.6,26.2,14.8,19.6,14.1,71.6,0,0,0,,0,0,29.2,18.7,357.9,1016.5,2,17.1,207,18,8,10,2025-01-17T06:22:23,2025-01-17T17:21:54,0.61,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-18,27,15.8,19.9,26.9,15.8,19.9,14.5,72.4,0,0,0,,0,0,29.5,17.3,2.9,1016.1,1.2,17.1,205.6,17.8,8,10,2025-01-18T06:22:20,2025-01-18T17:22:35,0.64,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-19,27.3,15.8,20.2,27.4,15.8,20.2,15.5,75.8,0,0,0,,0,0,25.9,15.8,1.8,1014.9,0,17,210,18.2,8,10,2025-01-19T06:22:17,2025-01-19T17:23:16,0.67,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-20,27.3,15.3,20.1,27.3,15.3,20.1,14.6,72.8,0,0,0,,0,0,23.4,13.3,347.1,1013.1,2.6,17,215.3,18.6,8,10,2025-01-20T06:22:12,2025-01-20T17:23:57,0.7,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-21,27.7,15.8,20.8,27.6,15.8,20.8,15.9,75.3,0,0,0,,0,0,19.4,11.9,220.9,1012.3,1.2,17.1,211.9,18.2,8,10,2025-01-21T06:22:06,2025-01-21T17:24:38,0.74,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-22,29.9,17,21.5,29.8,17,21.6,17.3,78.6,0,0,0,,0,0,20.2,11.5,243.9,1012.8,2.3,17.2,211.8,18.3,8,10,2025-01-22T06:21:58,2025-01-22T17:25:18,0.75,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-23,26.7,19,21.9,26.7,19,21.9,19.6,87.2,0,0,0,,0,0,20.5,12.6,188.9,1013.2,9.7,16.8,209.6,18.1,8,10,2025-01-23T06:21:49,2025-01-23T17:25:59,0.8,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-24,26.4,19.9,21.9,26.4,19.9,21.9,20.2,90.4,0,0,0,,0,0,21.6,13.3,179.3,1012.7,39,17.1,174.6,15.2,7,10,2025-01-24T06:21:39,2025-01-24T17:26:39,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-25,25.9,20.8,22.4,25.9,20.8,22.4,20.8,91.1,0.2,100,8.33,rain,0,0,19.4,9.7,120.1,1013.4,43.9,16.7,153.5,13,6,10,2025-01-25T06:21:28,2025-01-25T17:27:19,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-26,26.1,19.1,21.6,26.1,19.1,21.6,18.1,81.7,0,0,0,rain,0,0,27,16.6,31,1013.5,37.6,16.7,191.1,16.5,7,10,2025-01-26T06:21:15,2025-01-26T17:27:58,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-27,27,17.1,20.3,27.1,17.1,20.3,14.9,73.2,0,0,0,,0,0,26.6,16.6,16.9,1011.8,26.5,16.9,219.8,18.9,8,10,2025-01-27T06:21:01,2025-01-27T17:28:38,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-28,26.2,18,21.3,26.2,18,21.3,18,81.8,0,0,0,rain,0,0,22.7,14,142.9,1012.8,27.6,16.6,190.5,16.5,7,10,2025-01-28T06:20:45,2025-01-28T17:29:17,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-29,27.8,19.9,22.9,30.1,19.9,23,20.7,87.8,0,0,0,rain,0,0,28.4,17.6,161.3,1014.4,44,16.7,165.4,14.3,6,10,2025-01-29T06:20:28,2025-01-29T17:29:55,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-30,29.8,21.2,24.1,32.1,21.2,24.3,20.9,82.9,0,0,0,,0,0,34.2,22.7,202,1011.2,36.7,17.1,191.9,16.5,7,10,2025-01-30T06:20:10,2025-01-30T17:30:34,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-31,28.4,21.2,24.2,31.6,21.2,24.4,21.8,87.2,0.1,100,4.17,rain,0,0,29.2,19.1,197,1010.8,35.2,17,182.8,15.9,7,10,2025-01-31T06:19:51,2025-01-31T17:31:12,0.06,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-01,28.1,22,24.1,31.4,22,24.3,22.4,90.2,0,0,0,,0,0,27,15.8,180.6,1011.8,40.7,17.6,172.5,15,6,10,2025-02-01T06:19:30,2025-02-01T17:31:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-02,29.8,22.9,24.6,34,22.9,24.9,22.6,89.1,0,0,0,,0,0,24.8,15.5,188,1011.7,33.7,16.8,197.1,17,7,10,2025-02-02T06:19:08,2025-02-02T17:32:26,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-03,29.3,22.2,24.4,31,22.2,24.5,22.3,89.1,0,0,0,,0,0,25.2,15.1,94.6,1012.6,40.1,16.7,186.7,16.2,7,10,2025-02-03T06:18:45,2025-02-03T17:33:03,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-04,28.1,20.3,23.4,30.3,20.3,23.6,21,87,0,0,0,,0,0,26.3,15.5,156.6,1012.9,38.2,16.8,207.6,17.8,8,10,2025-02-04T06:18:21,2025-02-04T17:33:39,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-05,30.3,22.1,25.2,34.7,22.1,26.1,22.8,87.1,0,0,0,,0,0,24.5,14,198.3,1010.9,43.4,16.7,201.7,17.5,8,10,2025-02-05T06:17:55,2025-02-05T17:34:15,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-06,30.6,23.1,25.4,31,23.1,25.7,20.8,77.6,0,0,0,,0,0,32,20.9,35.1,1011.8,15.2,17.1,213.4,18.3,8,10,2025-02-06T06:17:29,2025-02-06T17:34:51,0.28,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-07,29.4,20.2,23.8,28.4,20.2,23.7,14.2,59.1,0,0,0,,0,0,30.2,19.4,42.8,1014,3.7,17.4,231.7,20.1,8,10,2025-02-07T06:17:01,2025-02-07T17:35:26,0.31,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-08,28.1,18.1,22.4,27.4,18.1,22.3,14.3,62.8,0,0,0,,0,0,24.8,15.5,38.8,1014.2,3.5,17.3,234.4,20.3,8,10,2025-02-08T06:16:32,2025-02-08T17:36:00,0.35,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-09,28.1,17,22.1,28.5,17,22.1,16.1,70.5,0,0,0,,0,0,21.6,13,137.1,1013.6,2.7,17.2,235.2,20.3,8,10,2025-02-09T06:16:02,2025-02-09T17:36:34,0.38,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-10,28.9,20.4,23.7,30.1,20.4,23.8,20.5,83.4,0,0,0,,0,0,25.6,15.8,186,1013.5,9.3,17.7,228.9,19.7,8,10,2025-02-10T06:15:30,2025-02-10T17:37:08,0.42,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-11,31,21.9,24.8,33.6,21.9,25.3,21.6,83.4,0,0,0,,0,0,31,19.1,190.2,1012.4,14.5,18.8,222.6,19.3,8,10,2025-02-11T06:14:58,2025-02-11T17:37:41,0.45,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-12,31.2,21.2,25.3,33.5,21.2,25.9,22,83.3,0,0,0,,0,0,29.9,18,187.7,1011.7,23,18.2,210.1,18.2,8,10,2025-02-12T06:14:25,2025-02-12T17:38:13,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-13,32,21.2,25.1,34.4,21.2,25.8,22.1,85,0,0,0,,0,0,21.6,11.9,162.7,1011.3,26.8,17,213,18.3,8,10,2025-02-13T06:13:50,2025-02-13T17:38:45,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-14,29.4,20.4,24.1,28.4,20.4,23.9,15.2,61.1,0,0,0,,0,0,27.7,18,53.2,1012.1,2.6,17.3,244.1,21,9,10,2025-02-14T06:13:15,2025-02-14T17:39:17,0.55,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-15,30.1,18.7,23.5,29,18.7,23.4,16.5,67.3,0,0,0,,0,0,25.2,14,174.1,1011.9,0,17.4,240.5,20.8,9,10,2025-02-15T06:12:38,2025-02-15T17:39:48,0.59,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-16,31.9,20.5,24.8,31.4,20.5,25.1,19.7,75,0,0,0,,0,0,30.2,18.7,194.6,1011.7,2.2,17.3,239.6,20.6,9,10,2025-02-16T06:12:01,2025-02-16T17:40:18,0.62,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-17,31.1,22.7,25.6,33.7,22.7,26.4,21,76.5,0,0,0,,0,0,30.2,18.7,194.3,1013.1,17.5,17.3,227.2,19.7,8,10,2025-02-17T06:11:22,2025-02-17T17:40:49,0.65,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-18,30.3,22.1,25.1,32.1,22.1,25.7,21,78.9,16.68,100,8.33,rain,0,0,25.2,16.2,191.9,1013,27,17.3,225.6,19.5,8,30,2025-02-18T06:10:43,2025-02-18T17:41:18,0.68,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-19,28.3,21.8,25.1,32.1,21.8,25.6,22.8,87.4,0.183,100,8.33,rain,0,0,29.9,16.2,169.1,1012.3,46.8,16.6,201,17.4,7,30,2025-02-19T06:10:03,2025-02-19T17:41:47,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-20,29.1,23.3,24.6,32.6,23.3,24.8,22.3,87.1,1.245,100,8.33,rain,0,0,29.9,17.6,161.7,1013.7,53.6,14.8,189,16.2,7,10,2025-02-20T06:09:22,2025-02-20T17:42:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-21,28.2,19.7,24.2,30.1,19.7,24.5,21.4,84.9,5.653,100,4.17,rain,0,0,23.8,13.7,174.4,1014.3,21.4,17.3,221.1,19.1,8,30,2025-02-21T06:08:40,2025-02-21T17:42:44,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-22,29.4,21.8,24.8,33.1,21.8,25.4,22.3,86.5,12.047,100,12.5,rain,0,0,26.6,15.8,211.3,1014.3,44.9,17.1,208.1,17.8,8,30,2025-02-22T06:07:57,2025-02-22T17:43:12,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-23,29.2,21,24,33.1,21,24.4,21.3,84.9,0.76,100,8.33,rain,0,0,33.1,10.4,80.7,1015.3,36,17.3,194.8,16.8,8,30,2025-02-23T06:07:14,2025-02-23T17:43:39,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-24,28.5,21.2,24.7,31.1,21.2,25.3,21.4,82.6,0.4,100,12.5,rain,0,0,20.9,13,66.2,1016.6,22,17.3,227.4,19.7,8,30,2025-02-24T06:06:29,2025-02-24T17:44:06,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-25,30.2,21.7,25.2,32.8,21.7,25.8,21.2,79.2,0,0,0,,0,0,20.2,10.1,189.9,1017.5,20.7,17.2,229,19.7,8,10,2025-02-25T06:05:44,2025-02-25T17:44:32,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-26,29.8,22.3,25.2,32,22.3,25.6,20.9,78.2,0,0,0,,0,0,18.4,10.1,121.4,1017.5,38.7,17.2,221.8,19.1,8,10,2025-02-26T06:04:59,2025-02-26T17:44:58,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-27,30.1,21.9,25.6,33.9,21.9,26.2,21.3,78.1,0,0,0,,0,0,31.7,19.4,177.5,1015.3,17.7,17.3,231,19.8,8,10,2025-02-27T06:04:12,2025-02-27T17:45:24,0.98,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-02-28,31.4,22.4,26,35.1,22.4,26.9,22.3,81.2,0,0,0,,0,0,21.2,13,192.4,1014,24.1,19.8,246.8,21.2,9,30,2025-02-28T06:03:25,2025-02-28T17:45:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-01,34,23.1,27.2,36.6,23.1,28.7,22,74.3,0,0,0,,0,0,28.4,19.8,208.4,1011.5,11.7,17.3,252.5,21.9,9,10,2025-03-01T06:02:37,2025-03-01T17:46:14,0.04,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-02,33.3,22.4,27.4,36.4,22.4,29.3,20.9,68.4,0,0,0,,0,0,28.4,18.7,203.1,1008.6,18.5,17.4,241,20.7,9,10,2025-03-02T06:01:49,2025-03-02T17:46:38,0.08,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-03,33.2,24.4,27.3,33.3,24.4,28.5,21.4,71.9,0,0,0,,0,0,25.9,18.4,322.3,1009.6,24.5,17.4,244.3,21,9,10,2025-03-03T06:01:00,2025-03-03T17:47:02,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-04,33,22.7,27,32.7,22.7,27.4,20.3,69.8,0,0,0,,0,0,25.6,16.6,21.8,1010.2,4.4,17.4,260.3,22.4,9,10,2025-03-04T06:00:10,2025-03-04T17:47:26,0.15,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-05,32.9,22.2,26.6,33,22.2,27.1,19.9,68.8,0,0,0,,0,0,30.2,17.3,188.2,1009.6,4.7,17.4,260.1,22.5,9,10,2025-03-05T05:59:20,2025-03-05T17:47:49,0.18,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-06,30.1,20.4,25.4,28.9,20.4,25.1,13.9,53.2,0.1,100,4.17,rain,0,0,34.9,23,25,1011.3,2.9,17.4,277.6,23.8,9,10,2025-03-06T05:58:29,2025-03-06T17:48:12,0.25,Rain,Clear conditions throughout the day with early morning rain.,rain,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-07,30.1,18.8,24.5,29.3,18.8,24.4,16.4,62.9,0,0,0,,0,0,28.4,18,155,1010.5,0.5,17.4,273.6,23.6,9,10,2025-03-07T05:57:38,2025-03-07T17:48:34,0.25,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-08,32.1,21.2,25.7,34.3,21.2,26.6,21.3,77.8,0,0,0,,0,0,33.8,21.2,185.7,1009,12,17.4,267,22.9,9,10,2025-03-08T05:56:47,2025-03-08T17:48:57,0.29,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-09,30.9,23.4,26.1,34.9,23.4,27.1,22.4,80.9,0,0,0,,0,0,30.2,19.1,168.9,1012.5,22.2,17.2,260.5,22.6,9,10,2025-03-09T05:55:55,2025-03-09T17:49:19,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-10,31.2,23,26,34.1,23,26.6,20.8,74.6,0,0,0,,0,0,26.3,15.5,170.6,1015,9.7,17.3,269.5,23.4,9,10,2025-03-10T05:55:02,2025-03-10T17:49:40,0.36,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-11,33.2,22.4,27,32.4,22.4,27.6,19,63.9,0,0,0,,0,0,30.2,19.1,197,1012.9,0,17.4,271.9,23.4,9,10,2025-03-11T05:54:10,2025-03-11T17:50:02,0.39,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-12,33.9,22.2,27.5,37.6,22.2,29.1,20,64.8,0,0,0,,0,0,30.2,22,199.3,1009.1,1.5,17.4,269.5,23.3,9,10,2025-03-12T05:53:16,2025-03-12T17:50:23,0.43,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-13,36,24.1,28.7,38.7,24.1,31.5,22.4,70.6,0,0,0,,0,0,31.3,20.9,204.5,1007,2,18.2,265.8,22.9,9,30,2025-03-13T05:52:23,2025-03-13T17:50:44,0.46,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-14,34.7,25.4,29,43,25.4,33.3,24.5,77.5,0,0,0,,0,0,29.5,18.7,190.9,1008,16.7,17.4,259.2,22.4,9,60,2025-03-14T05:51:29,2025-03-14T17:51:04,0.5,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-03-15,35,24.8,28.8,42.8,24.8,33.5,24.8,80.1,0,0,0,,0,0,26.6,17.6,186.3,1009.5,19.4,17.4,262.6,22.8,9,30,2025-03-15T05:50:35,2025-03-15T17:51:25,0.53,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
